"IDLOCALIDAD","UNIDAD_DE_ANALISIS","IDPERIODO","IDEPOCA","IDEDADGEOLOGICA","IDEDAD_L/M","ISOTOPO","IDMAGNETOCRON","EDAD_MINIMA","MET_FECHADO_MNIMO","EDAD_MAXIMA","MET_FECHADO_MAXIMO"
121.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
122.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
123.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
124.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
125.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
126.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
127.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
128.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
129.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
130.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
131.00,"ND","ND","PLPL","ND","ND","ND","ND","ND","ND","ND","ND"
131.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
133.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
134.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
135.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
136.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
137.00,"ND","QUAT","ND","ND","ND","ND","ND","ND","ND","ND","ND"
138.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
139.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
140.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
141.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
142.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
143.00,"ND","QUAT","?PLE","ND","ND","ND","ND","ND","ND","ND","ND"
143.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
144.00,"ND","QUAT","LPLE","ND","ND","ND","ND","ND","ND","ND","ND"
144.00,"ND","QUAT","PLEI","ND","ND","ND","ND","ND","ND","ND","ND"
145.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
146.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
147.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
149.00,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
